,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,convention_workclass,convention_education,convention_marital-status,convention_occupation,convention_relationship,convention_race,convention_sex,convention_native-country,convention_income
161,25,private,252752,hs-grad,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,<=50k,2,1,0,4,4,0,1,0,0
162,44,self-emp-inc,78374,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50k,5,3,2,1,4,2,1,0,0
163,28,private,88419,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,<=50k,2,1,0,1,0,2,1,7,0
164,45,self-emp-not-inc,201080,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k,1,3,1,5,1,0,0,0,1
165,36,private,207157,some-college,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,<=50k,2,5,2,4,4,0,1,4,0
166,39,federal-gov,235485,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,<=50k,3,6,0,1,0,0,0,0,0
167,46,state-gov,102628,masters,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,<=50k,0,3,6,11,4,0,0,0,0
168,18,private,25828,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,16,united-states,<=50k,2,2,0,2,3,0,0,0,0
169,66,local-gov,54826,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50k,4,9,6,3,0,0,1,0,0
170,27,private,124953,hs-grad,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,<=50k,2,1,0,4,0,0,0,0,0
171,28,state-gov,175325,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k,0,1,1,11,1,0,0,0,0
172,51,private,96062,some-college,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,>50k,2,5,1,5,1,0,0,0,1
173,27,private,428030,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50k,2,0,0,10,0,0,0,0,0
174,28,state-gov,149624,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k,0,0,1,3,1,0,0,0,1
175,27,private,253814,hs-grad,9,married-spouse-absent,sales,unmarried,white,female,0,0,25,united-states,<=50k,2,1,3,5,4,0,1,0,0
176,21,private,312956,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50k,2,1,0,10,3,1,0,0,0
177,34,private,483777,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,<=50k,2,1,0,2,0,1,0,0,0
178,18,private,183930,hs-grad,9,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50k,2,1,0,4,3,0,0,0,0
179,33,private,37274,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,65,united-states,<=50k,2,0,1,3,1,0,0,0,0
180,44,local-gov,181344,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,>50k,4,5,1,1,1,1,0,0,1
181,43,private,114580,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k,2,5,2,0,0,0,1,0,0
182,30,private,633742,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50k,2,5,0,10,0,1,0,0,0
183,40,private,286370,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,>50k,2,7,1,8,1,0,0,4,1
184,37,federal-gov,29054,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,>50k,3,5,1,0,1,0,0,0,1
185,34,private,304030,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k,2,1,1,0,1,1,0,0,0
186,41,self-emp-not-inc,143129,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k,1,0,2,1,0,0,1,0,0
188,31,private,99928,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,<=50k,2,3,1,3,2,0,1,0,0
189,58,state-gov,109567,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,united-states,>50k,0,8,1,3,1,0,0,0,1
190,38,private,155222,some-college,10,divorced,machine-op-inspct,not-in-family,black,female,0,0,28,united-states,<=50k,2,5,2,8,0,1,1,0,0
191,24,private,159567,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k,2,5,1,8,1,0,0,0,0
192,41,local-gov,523910,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50k,4,0,1,10,1,1,0,0,0
193,47,private,120939,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,<=50k,2,5,1,9,1,0,0,0,0
194,41,federal-gov,130760,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,24,united-states,<=50k,3,0,1,9,1,0,0,0,0
195,23,private,197387,5th-6th,3,married-civ-spouse,transport-moving,other-relative,white,male,0,0,40,mexico,<=50k,2,11,1,6,5,0,0,4,0
196,36,private,99374,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k,2,5,2,10,0,0,0,0,0
197,40,federal-gov,56795,masters,14,never-married,exec-managerial,not-in-family,white,female,14084,0,55,united-states,>50k,3,3,0,1,0,0,1,0,1
198,35,private,138992,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50k,2,3,1,3,5,0,0,0,1
199,24,self-emp-not-inc,32921,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k,1,1,0,5,0,0,0,0,0
200,26,private,397317,masters,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50k,2,3,0,3,0,0,1,0,0
202,51,private,259323,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k,2,0,1,1,1,0,0,0,1
203,42,local-gov,254817,some-college,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50k,4,5,0,3,0,0,1,0,0
204,37,state-gov,48211,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50k,0,1,2,0,4,0,1,0,0
205,18,private,140164,11th,7,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k,2,2,0,5,3,0,1,0,0
206,36,private,128757,bachelors,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,>50k,2,0,1,4,1,1,0,0,1
